,"Population estimates, July 1, 2019, (V2019)","Population estimates base, April 1, 2010, (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019, (V2019)","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent(a)","American Indian and Alaska Native alone, percent(a)","Asian alone, percent(a)","Two or More Races, percent","Hispanic or Latino, percent(b)","White alone, not Hispanic or Latino, percent","Veterans, 2015-2019","Foreign born persons, percent, 2015-2019","Housing units, July 1, 2019, (V2019)","Owner-occupied housing unit rate, 2015-2019","Median value of owner-occupied housing units, 2015-2019","Median selected monthly owner costs -with a mortgage, 2015-2019","Median selected monthly owner costs -without a mortgage, 2015-2019","Median gross rent, 2015-2019","Building permits, 2019","Households, 2015-2019","Persons per household, 2015-2019","Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2015-2019","In civilian labor force, female, percent of population age 16 years+, 2015-2019","Total retail sales, 2012 ($1,000)(c)","Total retail sales per capita, 2012(c)","Mean travel time to work (minutes), workers age 16 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
"Fauquier County, Virginia","71,222.0000","65,228.0000",0.0920,0.0570,0.2310,0.1690,0.1690,0.5060,0.8700,0.0780,0.0050,0.0170,0.0280,0.0920,0.7900,"6,120.0000",0.0640,"27,398.0000",0.7830,"395,500.0000","2,291.0000",613.0000,"1,281.0000",202.0000,"24,562.0000",2.8200,0.8950,0.0910,0.9230,0.8830,0.9250,0.3640,0.0560,0.0560,0.1010,0.6720,0.6170,"920,778.0000","13,838.0000",41.0000,"100,783.0000","45,408.0000","45,408.0000",0.0610,"6,836.0000","3,713.0000","2,258.0000",692.0000,"5,908.0000",794.0000,"5,625.0000",100.7000,647.4500,"51,061.0000"
"Floyd County, Virginia","15,749.0000","15,291.0000",0.0300,0.0480,0.1930,0.2350,0.2350,0.4960,0.9550,0.0200,0.0020,0.0050,0.0170,0.0300,0.9300,862.0000,0.0310,"8,110.0000",0.8110,"170,700.0000","1,206.0000",314.0000,705.0000,26.0000,"6,493.0000",2.4000,0.9130,0.0260,0.8160,0.7360,0.8700,0.2210,0.0940,0.0940,0.1370,0.5720,0.5350,"70,667.0000","4,592.0000",34.3000,"51,521.0000","26,882.0000","26,882.0000",0.1140,"1,525.0000",819.0000,554.0000,115.0000,"1,389.0000",106.0000,"1,371.0000",40.2000,380.4200,"51,063.0000"
"Fluvanna County, Virginia","27,270.0000","25,742.0000",0.0590,0.0530,0.1980,0.2050,0.2050,0.5420,0.8070,0.1530,0.0040,0.0090,0.0260,0.0380,0.7760,"2,279.0000",0.0350,"11,162.0000",0.8500,"234,700.0000","1,536.0000",519.0000,"1,163.0000",123.0000,"9,923.0000",2.5500,0.9010,0.0480,0.9220,0.8580,0.9110,0.3390,0.0800,0.0800,0.1070,0.5930,0.5400,"75,319.0000","2,901.0000",32.9000,"76,873.0000","39,633.0000","39,633.0000",0.0730,"1,857.0000",966.0000,722.0000,228.0000,"1,596.0000",288.0000,"1,464.0000",89.8000,286.0100,"51,065.0000"
"Franklin County, Virginia","56,042.0000","56,128.0000",-0.0020,0.0450,0.1870,0.2420,0.2420,0.5080,0.8960,0.0790,0.0050,0.0050,0.0150,0.0290,0.8720,"4,144.0000",0.0220,"30,069.0000",0.8170,"178,100.0000","1,206.0000",349.0000,732.0000,117.0000,"22,997.0000",2.3800,0.9050,0.0330,0.8350,0.7350,0.8810,0.2190,0.1110,0.1110,0.1180,0.5580,0.5290,"458,981.0000","8,136.0000",30.6000,"56,254.0000","30,487.0000","30,487.0000",0.1150,"4,570.0000","2,548.0000","1,459.0000",324.0000,"4,133.0000",457.0000,"3,980.0000",81.3000,690.4300,"51,067.0000"
"Frederick County, Virginia","89,313.0000","78,269.0000",0.1410,0.0580,0.2270,0.1780,0.1780,0.5020,0.9050,0.0470,0.0050,0.0180,0.0240,0.0930,0.8230,"6,478.0000",0.0620,"35,450.0000",0.7760,"251,200.0000","1,574.0000",437.0000,"1,125.0000",771.0000,"31,503.0000",2.7000,0.8750,0.0970,0.9050,0.8130,0.8920,0.2830,0.0800,0.0800,0.1050,0.6450,0.6070,"1,346,134.0000","16,760.0000",32.3000,"78,002.0000","35,123.0000","35,123.0000",0.0650,"6,752.0000","3,985.0000","2,187.0000",536.0000,"5,980.0000",648.0000,"5,768.0000",189.4000,413.5000,"51,069.0000"
"Giles County, Virginia","16,720.0000","17,286.0000",-0.0330,0.0530,0.2040,0.2240,0.2240,0.5060,0.9630,0.0160,0.0030,0.0060,0.0130,0.0180,0.9470,983.0000,0.0100,"8,368.0000",0.7510,"123,200.0000","1,056.0000",356.0000,700.0000,28.0000,"6,910.0000",2.4100,0.9050,0.0190,0.8060,0.7370,0.8890,0.1810,0.0910,0.0910,0.0990,0.5740,0.5130,"184,035.0000","10,872.0000",25.3000,"54,520.0000","27,137.0000","27,137.0000",0.1140,"1,177.0000",666.0000,389.0000,31.0000,"1,097.0000",229.0000,898.0000,48.6000,355.7800,"51,071.0000"
"Gloucester County, Virginia","37,348.0000","36,859.0000",0.0130,0.0500,0.1990,0.1960,0.1960,0.5080,0.8780,0.0800,0.0060,0.0090,0.0270,0.0380,0.8470,"4,341.0000",0.0170,"16,857.0000",0.7820,"230,000.0000","1,497.0000",407.0000,"1,084.0000",100.0000,"14,786.0000",2.5000,0.9040,0.0290,0.9110,0.8500,0.8960,0.2330,0.1230,0.1230,0.1030,0.5950,0.5450,"496,201.0000","13,452.0000",33.8000,"70,537.0000","33,692.0000","33,692.0000",0.0860,"3,133.0000","1,851.0000",841.0000,203.0000,"2,811.0000",455.0000,"2,517.0000",169.2000,217.8100,"51,073.0000"
"Goochland County, Virginia","23,753.0000","21,692.0000",0.0950,0.0370,0.1720,0.2290,0.2290,0.5090,0.8040,0.1580,0.0040,0.0170,0.0170,0.0310,0.7780,"1,530.0000",0.0410,"9,613.0000",0.8490,"375,200.0000","1,839.0000",522.0000,"1,208.0000",218.0000,"8,506.0000",2.5500,0.8920,0.0500,0.9080,0.8320,0.9140,0.4180,0.0870,0.0870,0.0750,0.5950,0.5520,"215,509.0000","10,096.0000",30.8000,"93,994.0000","51,720.0000","51,720.0000",0.0620,"2,812.0000","1,640.0000",707.0000,380.0000,"2,356.0000",327.0000,"2,265.0000",77.2000,281.4200,"51,075.0000"
"Grayson County, Virginia","15,550.0000","15,554.0000",0.0000,0.0400,0.1650,0.2530,0.2530,0.4860,0.9250,0.0570,0.0030,0.0020,0.0120,0.0380,0.8910,981.0000,0.0220,"9,256.0000",0.8130,"102,900.0000",875.0000,269.0000,520.0000,28.0000,"6,498.0000",2.2500,0.9000,0.0510,0.7820,0.6920,0.8130,0.1370,0.1380,0.1380,0.1290,0.5100,0.5240,"40,503.0000","2,668.0000",26.1000,"36,544.0000","21,663.0000","21,663.0000",0.1880,"1,476.0000",861.0000,387.0000,F,"1,416.0000",113.0000,"1,269.0000",35.1000,442.1800,"51,077.0000"
"Greene County, Virginia","19,819.0000","18,389.0000",0.0780,0.0620,0.2380,0.1780,0.1780,0.5130,0.8760,0.0730,0.0040,0.0200,0.0260,0.0600,0.8220,"1,464.0000",0.0460,"8,488.0000",0.7760,"236,400.0000","1,564.0000",445.0000,"1,165.0000",170.0000,"7,548.0000",2.5700,0.8840,0.0760,0.9220,0.8530,0.8610,0.2900,0.0990,0.0990,0.1250,0.6890,0.6580,"183,922.0000","9,798.0000",29.8000,"67,398.0000","32,508.0000","32,508.0000",0.0760,"1,440.0000",791.0000,422.0000,69.0000,"1,291.0000",307.0000,"1,066.0000",117.8000,156.2500,"51,079.0000"
"Greensville County, Virginia","11,336.0000","12,245.0000",-0.0740,0.0410,0.1640,0.1530,0.1530,0.3720,0.3780,0.6020,0.0030,0.0070,0.0110,0.0280,0.3570,868.0000,0.0170,"4,205.0000",0.7330,"117,700.0000","1,018.0000",346.0000,854.0000,12.0000,"3,647.0000",2.2600,0.8090,0.0390,0.7950,0.6320,0.7780,0.0920,0.1150,0.1150,0.1070,0.4140,0.5440,"130,752.0000","11,033.0000",23.7000,"50,300.0000","19,550.0000","19,550.0000",0.2450,345.0000,212.0000,119.0000,209.0000,124.0000,47.0000,285.0000,41.5000,295.2300,"51,081.0000"
"Halifax County, Virginia","33,911.0000","36,253.0000",-0.0650,0.0530,0.2020,0.2480,0.2480,0.5210,0.6120,0.3630,0.0040,0.0070,0.0150,0.0220,0.5970,"2,476.0000",0.0210,"18,207.0000",0.7410,"116,100.0000","1,017.0000",318.0000,671.0000,82.0000,"14,158.0000",2.3800,0.9390,0.0450,0.6810,0.5720,0.8150,0.1540,0.1220,0.1220,0.1130,0.5290,0.4980,"358,082.0000","9,989.0000",25.2000,"42,669.0000","23,909.0000","23,909.0000",0.1710,"2,257.0000","1,271.0000",745.0000,433.0000,"1,726.0000",241.0000,"1,922.0000",44.3000,817.8400,"51,083.0000"
"Hanover County, Virginia","107,766.0000","99,850.0000",0.0790,0.0500,0.2170,0.1840,0.1840,0.5100,0.8600,0.0950,0.0050,0.0190,0.0200,0.0310,0.8350,"7,272.0000",0.0350,"42,264.0000",0.8250,"282,900.0000","1,735.0000",479.0000,"1,159.0000",992.0000,"38,987.0000",2.6600,0.8960,0.0440,0.9300,0.8600,0.9310,0.3980,0.0660,0.0660,0.0730,0.6710,0.6300,"1,752,104.0000","17,405.0000",25.9000,"89,390.0000","41,200.0000","41,200.0000",0.0510,"10,101.0000","5,966.0000","3,060.0000",761.0000,"8,982.0000","1,215.0000","8,315.0000",213.1000,468.5400,"51,085.0000"
"Henrico County, Virginia","330,818.0000","306,756.0000",0.0780,0.0600,0.2240,0.1590,0.1590,0.5260,0.5700,0.3090,0.0040,0.0910,0.0260,0.0600,0.5220,"17,967.0000",0.1290,"139,274.0000",0.6270,"242,600.0000","1,593.0000",483.0000,"1,170.0000","1,775.0000","128,464.0000",2.5300,0.8440,0.1540,0.9200,0.8620,0.9170,0.4370,0.0750,0.0750,0.1000,0.6930,0.6480,"5,519,851.0000","17,527.0000",22.6000,"70,307.0000","39,516.0000","39,516.0000",0.0870,"27,519.0000","14,973.0000","9,261.0000","8,667.0000","17,408.0000","3,061.0000","22,774.0000","1,313.4000",233.7000,"51,087.0000"
"Henry County, Virginia","50,557.0000","54,182.0000",-0.0670,0.0450,0.1920,0.2450,0.2450,0.5190,0.7440,0.2260,0.0040,0.0050,0.0200,0.0580,0.6950,"3,804.0000",0.0270,"26,170.0000",0.7190,"93,900.0000",901.0000,302.0000,604.0000,16.0000,"21,218.0000",2.3800,0.9060,0.0670,0.8020,0.7020,0.8010,0.1390,0.1500,0.1500,0.1410,0.5090,0.4840,"581,502.0000","10,978.0000",23.3000,"37,952.0000","22,372.0000","22,372.0000",0.1460,"3,211.0000","1,839.0000","1,049.0000",435.0000,"2,631.0000",324.0000,"2,726.0000",141.6000,382.3300,"51,089.0000"
"Highland County, Virginia","2,190.0000","2,319.0000",-0.0560,0.0440,0.1330,0.3550,0.3550,0.5040,0.9760,0.0110,0.0030,0.0060,0.0030,0.0110,0.9670,297.0000,0.0030,"1,890.0000",0.8290,"173,900.0000","1,065.0000",326.0000,618.0000,13.0000,"1,078.0000",2.0400,0.9570,0.0080,0.8120,0.7650,0.8850,0.2250,0.1100,0.1100,0.1720,0.4600,0.4040,"8,555.0000","3,811.0000",27.4000,"48,587.0000","31,485.0000","31,485.0000",0.1240,349.0000,163.0000,120.0000,F,332.0000,F,292.0000,5.6000,415.1600,"51,091.0000"
"Isle of Wight County, Virginia","37,109.0000","35,277.0000",0.0520,0.0530,0.2080,0.1980,0.1980,0.5100,0.7270,0.2320,0.0050,0.0100,0.0250,0.0340,0.7020,"3,806.0000",0.0300,"16,025.0000",0.7580,"266,800.0000","1,735.0000",492.0000,"1,045.0000",203.0000,"14,587.0000",2.4900,0.8940,0.0480,0.8910,0.7810,0.8790,0.2700,0.1040,0.1040,0.0900,0.6350,0.5710,"246,871.0000","6,974.0000",30.2000,"73,991.0000","37,126.0000","37,126.0000",0.0910,"2,621.0000","1,488.0000",792.0000,444.0000,"2,030.0000",520.0000,"1,849.0000",111.8000,315.6100,"51,093.0000"
"James City County, Virginia","76,523.0000","67,379.0000",0.1360,0.0490,0.1970,0.2580,0.2580,0.5170,0.8030,0.1360,0.0040,0.0260,0.0290,0.0610,0.7530,"9,601.0000",0.0670,"34,135.0000",0.7640,"340,500.0000","1,786.0000",552.0000,"1,327.0000",311.0000,"28,920.0000",2.5500,0.8610,0.0800,0.9460,0.8670,0.9510,0.5040,0.0800,0.0800,0.0790,0.5750,0.5350,"630,200.0000","9,138.0000",25.8000,"87,678.0000","44,495.0000","44,495.0000",0.0580,"6,439.0000","3,246.0000","2,327.0000",827.0000,"5,294.0000","1,070.0000","4,899.0000",470.4000,142.4400,"51,095.0000"
"King and Queen County, Virginia","7,025.0000","6,940.0000",0.0120,0.0460,0.1750,0.2360,0.2360,0.4900,0.6900,0.2620,0.0170,0.0050,0.0260,0.0310,0.6640,503.0000,0.0120,"3,513.0000",0.8350,"183,200.0000","1,192.0000",394.0000,968.0000,26.0000,"2,707.0000",2.6000,0.8960,0.0100,0.7990,0.6060,0.8810,0.2360,0.0680,0.0680,0.1420,0.5630,0.5190,"12,350.0000","1,753.0000",35.2000,"63,982.0000","31,174.0000","31,174.0000",0.1170,424.0000,329.0000,50.0000,92.0000,324.0000,91.0000,307.0000,22.0000,315.1400,"51,097.0000"
"King George County, Virginia","26,836.0000","23,578.0000",0.1380,0.0590,0.2460,0.1340,0.1340,0.4940,0.7790,0.1610,0.0080,0.0160,0.0350,0.0580,0.7330,"3,367.0000",0.0280,"10,257.0000",0.7880,"307,900.0000","1,881.0000",512.0000,"1,208.0000",155.0000,"9,202.0000",2.8200,0.8570,0.0500,0.9560,0.8990,0.9330,0.3600,0.0770,0.0770,0.0740,0.6590,0.6060,"232,398.0000","9,486.0000",38.1000,"94,274.0000","38,739.0000","38,739.0000",0.0590,"1,554.0000",803.0000,555.0000,366.0000,"1,132.0000",153.0000,"1,284.0000",131.3000,179.6400,"51,099.0000"
"King William County, Virginia","17,148.0000","15,927.0000",0.0770,0.0590,0.2280,0.1630,0.1630,0.5110,0.7940,0.1540,0.0150,0.0110,0.0260,0.0290,0.7720,"1,137.0000",0.0200,"7,268.0000",0.8740,"204,300.0000","1,488.0000",423.0000,"1,061.0000",118.0000,"6,078.0000",2.7400,0.9430,0.0260,0.8960,0.7400,0.9210,0.2100,0.0860,0.0860,0.0970,0.6460,0.5990,"133,291.0000","8,341.0000",39.1000,"66,987.0000","30,704.0000","30,704.0000",0.0690,"1,207.0000",671.0000,450.0000,109.0000,"1,048.0000",138.0000,992.0000,58.2000,273.9400,"51,101.0000"
"Lancaster County, Virginia","10,603.0000","11,390.0000",-0.0690,0.0400,0.1550,0.3670,0.3670,0.5270,0.6900,0.2840,0.0040,0.0080,0.0150,0.0250,0.6710,"1,242.0000",0.0270,"7,684.0000",0.7590,"257,200.0000","1,472.0000",449.0000,763.0000,27.0000,"5,062.0000",2.0900,0.8770,0.0360,0.8460,0.7230,0.9040,0.3150,0.0840,0.0840,0.1300,0.4770,0.4390,"161,485.0000","14,372.0000",26.2000,"53,711.0000","40,062.0000","40,062.0000",0.1330,"1,640.0000",780.0000,512.0000,113.0000,"1,485.0000",161.0000,"1,272.0000",85.5000,133.2500,"51,103.0000"
"Lee County, Virginia","23,423.0000","25,589.0000",-0.0850,0.0450,0.1850,0.2220,0.2220,0.4790,0.9450,0.0370,0.0040,0.0030,0.0100,0.0200,0.9290,"1,402.0000",0.0130,"11,781.0000",0.7080,"88,100.0000",905.0000,273.0000,558.0000,12.0000,"9,149.0000",2.4500,0.8830,0.0270,0.7230,0.4850,0.7670,0.1120,0.2010,0.2010,0.1230,0.4290,0.4120,"208,128.0000","8,170.0000",31.5000,"32,888.0000","19,720.0000","19,720.0000",0.2710,"1,530.0000",779.0000,394.0000,F,"1,482.0000",125.0000,"1,258.0000",58.8000,435.5200,"51,105.0000"
"Loudoun County, Virginia","413,538.0000","312,348.0000",0.3240,0.0680,0.2790,0.0970,0.0970,0.5040,0.6700,0.0810,0.0050,0.2030,0.0390,0.1390,0.5480,"21,956.0000",0.2450,"139,974.0000",0.7800,"508,100.0000","2,805.0000",775.0000,"1,870.0000","2,978.0000","128,637.0000",3.0600,0.8740,0.3160,0.9750,0.9460,0.9390,0.6130,0.0370,0.0370,0.0690,0.7530,0.6840,"5,140,369.0000","15,258.0000",34.5000,"142,299.0000","55,744.0000","55,744.0000",0.0310,"33,392.0000","17,450.0000","12,179.0000","12,053.0000","19,974.0000","2,922.0000","28,790.0000",605.8000,515.5600,"51,107.0000"
"Louisa County, Virginia","37,591.0000","33,168.0000",0.1330,0.0540,0.2010,0.2030,0.2030,0.5050,0.8080,0.1560,0.0060,0.0060,0.0230,0.0330,0.7810,"3,259.0000",0.0360,"17,916.0000",0.8000,"223,100.0000","1,360.0000",423.0000,937.0000,276.0000,"13,871.0000",2.5900,0.8910,0.0480,0.8840,0.7800,0.8520,0.2410,0.1240,0.1240,0.1290,0.5940,0.5450,"276,447.0000","8,269.0000",36.7000,"60,975.0000","34,041.0000","34,041.0000",0.0950,"2,460.0000","1,349.0000",812.0000,378.0000,"2,023.0000",289.0000,"2,013.0000",66.8000,496.3000,"51,109.0000"
"Lunenburg County, Virginia","12,196.0000","12,916.0000",-0.0560,0.0530,0.1890,0.2270,0.2270,0.4710,0.6290,0.3390,0.0050,0.0030,0.0220,0.0540,0.5890,"1,085.0000",0.0610,"5,998.0000",0.7180,"119,500.0000","1,116.0000",365.0000,683.0000,11.0000,"4,293.0000",2.6300,0.9440,0.0480,0.6670,0.5610,0.7780,0.1130,0.1550,0.1550,0.1560,0.4740,0.4700,"51,265.0000","4,073.0000",30.3000,"44,303.0000","19,848.0000","19,848.0000",0.1920,900.0000,547.0000,283.0000,183.0000,697.0000,78.0000,780.0000,29.9000,431.6800,"51,111.0000"
"Madison County, Virginia","13,261.0000","13,306.0000",-0.0030,0.0510,0.2010,0.2290,0.2290,0.5160,0.8690,0.0930,0.0030,0.0060,0.0290,0.0320,0.8430,822.0000,0.0300,"6,140.0000",0.7450,"257,900.0000","1,484.0000",409.0000,687.0000,61.0000,"4,949.0000",2.6200,0.8920,0.0360,0.8460,0.7070,0.8610,0.2340,0.0840,0.0840,0.1230,0.6100,0.5570,"186,364.0000","14,118.0000",28.9000,"57,895.0000","30,777.0000","30,777.0000",0.0930,"1,496.0000",884.0000,514.0000,95.0000,"1,356.0000",213.0000,"1,207.0000",41.5000,320.6800,"51,113.0000"
"Mathews County, Virginia","8,834.0000","8,976.0000",-0.0160,0.0390,0.1560,0.3150,0.3150,0.5160,0.8810,0.0850,0.0030,0.0090,0.0210,0.0270,0.8570,"1,097.0000",0.0230,"5,764.0000",0.8500,"226,300.0000","1,301.0000",460.0000,922.0000,9.0000,"3,920.0000",2.2100,0.9010,0.0280,0.8450,0.7090,0.9050,0.2790,0.1520,0.1520,0.0960,0.4750,0.4060,"54,443.0000","6,128.0000",38.6000,"64,237.0000","35,731.0000","35,731.0000",0.0880,978.0000,525.0000,385.0000,F,927.0000,71.0000,864.0000,104.5000,85.9300,"51,115.0000"
"Mecklenburg County, Virginia","30,587.0000","32,716.0000",-0.0650,0.0500,0.1870,0.2590,0.2590,0.5130,0.6220,0.3460,0.0040,0.0080,0.0190,0.0310,0.6000,"2,388.0000",0.0240,"19,066.0000",0.7110,"132,600.0000","1,027.0000",353.0000,695.0000,104.0000,"12,075.0000",2.4600,0.9300,0.0200,0.7330,0.6070,0.8190,0.2020,0.1510,0.1510,0.1150,0.4930,0.4880,"417,087.0000","13,137.0000",25.7000,"43,207.0000","25,056.0000","25,056.0000",0.1730,"2,217.0000","1,247.0000",702.0000,476.0000,"1,631.0000",271.0000,"1,784.0000",52.3000,625.4900,"51,117.0000"
"Middlesex County, Virginia","10,582.0000","10,959.0000",-0.0340,0.0450,0.1600,0.3200,0.3200,0.5090,0.8010,0.1660,0.0050,0.0050,0.0220,0.0290,0.7770,"1,143.0000",0.0260,"7,369.0000",0.7870,"261,900.0000","1,459.0000",414.0000,844.0000,38.0000,"4,603.0000",2.2300,0.8760,0.0380,0.8480,0.6700,0.8710,0.2150,0.1040,0.1040,0.1110,0.5100,0.4840,"101,324.0000","9,363.0000",28.4000,"57,438.0000","31,502.0000","31,502.0000",0.1380,971.0000,534.0000,224.0000,71.0000,848.0000,177.0000,718.0000,84.1000,130.3100,"51,119.0000"
"Montgomery County, Virginia","98,535.0000","94,422.0000",0.0440,0.0410,0.1530,0.1320,0.1320,0.4830,0.8650,0.0430,0.0030,0.0630,0.0250,0.0350,0.8360,"4,522.0000",0.0780,"41,053.0000",0.5540,"227,100.0000","1,436.0000",448.0000,992.0000,533.0000,"35,685.0000",2.4900,0.7570,0.1030,0.9360,0.8780,0.9320,0.4550,0.0690,0.0690,0.1040,0.5640,0.5470,"1,280,568.0000","13,452.0000",18.9000,"57,977.0000","30,054.0000","30,054.0000",0.2050,"6,198.0000","3,216.0000","1,936.0000",560.0000,"5,244.0000",560.0000,"5,187.0000",243.9000,387.0100,"51,121.0000"
"Nelson County, Virginia","14,930.0000","15,015.0000",-0.0060,0.0470,0.1780,0.2820,0.2820,0.5170,0.8500,0.1140,0.0060,0.0080,0.0230,0.0430,0.8160,"1,207.0000",0.0290,"10,240.0000",0.7640,"235,000.0000","1,383.0000",407.0000,759.0000,46.0000,"6,419.0000",2.2900,0.9320,0.0430,0.8700,0.6850,0.8570,0.3040,0.0710,0.0710,0.1310,0.5800,0.5250,"115,108.0000","7,763.0000",30.6000,"64,313.0000","35,489.0000","35,489.0000",0.1180,"1,587.0000",927.0000,463.0000,97.0000,"1,431.0000",131.0000,"1,350.0000",31.9000,470.8600,"51,125.0000"
"New Kent County, Virginia","23,091.0000","18,432.0000",0.2530,0.0510,0.1990,0.1770,0.1770,0.4910,0.8080,0.1390,0.0110,0.0120,0.0290,0.0360,0.7790,"1,944.0000",0.0270,"8,956.0000",0.8650,"281,100.0000","1,622.0000",515.0000,"1,010.0000",185.0000,"7,961.0000",2.6500,0.8660,0.0420,0.9320,0.7910,0.9270,0.2690,0.0760,0.0760,0.0900,0.6410,0.6040,"155,016.0000","8,087.0000",34.0000,"87,904.0000","38,080.0000","38,080.0000",0.0500,"1,661.0000",771.0000,656.0000,264.0000,"1,318.0000",206.0000,"1,364.0000",87.9000,209.7300,"51,127.0000"
"Northampton County, Virginia","11,710.0000","12,391.0000",-0.0550,0.0510,0.1970,0.2700,0.2700,0.5210,0.6270,0.3370,0.0040,0.0100,0.0190,0.0950,0.5430,"1,055.0000",0.0550,"7,440.0000",0.6520,"176,800.0000","1,220.0000",428.0000,733.0000,76.0000,"5,148.0000",2.2500,0.9420,0.0960,0.8240,0.7230,0.8250,0.2260,0.0850,0.0850,0.1460,0.5220,0.5250,"117,921.0000","9,645.0000",20.7000,"47,227.0000","28,518.0000","28,518.0000",0.1810,"1,342.0000",825.0000,326.0000,226.0000,"1,011.0000",163.0000,"1,058.0000",58.5000,211.6100,"51,131.0000"
