,"Population estimates, July 1, 2019, (V2019)","Population estimates base, April 1, 2010, (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019, (V2019)","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent(a)","American Indian and Alaska Native alone, percent(a)","Asian alone, percent(a)","Two or More Races, percent","Hispanic or Latino, percent(b)","White alone, not Hispanic or Latino, percent","Veterans, 2015-2019","Foreign born persons, percent, 2015-2019","Housing units, July 1, 2019, (V2019)","Owner-occupied housing unit rate, 2015-2019","Median value of owner-occupied housing units, 2015-2019","Median selected monthly owner costs -with a mortgage, 2015-2019","Median selected monthly owner costs -without a mortgage, 2015-2019","Median gross rent, 2015-2019","Building permits, 2019","Households, 2015-2019","Persons per household, 2015-2019","Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2015-2019","In civilian labor force, female, percent of population age 16 years+, 2015-2019","Total retail sales, 2012 ($1,000)(c)","Total retail sales per capita, 2012(c)","Mean travel time to work (minutes), workers age 16 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
"Buena Vista city, Virginia","6,478.0000","6,607.0000",-0.0200,0.0510,0.2070,0.1840,0.1840,0.5720,0.8920,0.0730,0.0010,0.0190,0.0060,0.0180,0.8810,418.0000,0.0100,X,0.6800,"126,600.0000","1,012.0000",402.0000,795.0000,X,"2,517.0000",2.3600,0.8140,0.0270,0.7990,0.6970,0.8110,0.1590,0.0920,0.0920,0.1330,0.5570,0.4940,"34,821.0000","5,192.0000",18.7000,"32,455.0000","21,419.0000","21,419.0000",0.2550,313.0000,164.0000,117.0000,F,285.0000,56.0000,233.0000,991.9000,6.7000,"5,111,032.0000"
"Charlottesville city, Virginia","47,266.0000","43,425.0000",0.0880,0.0500,0.1560,0.1130,0.1130,0.5160,0.7060,0.1880,0.0020,0.0710,0.0290,0.0550,0.6570,"1,677.0000",0.1220,X,0.4280,"299,600.0000","1,612.0000",536.0000,"1,142.0000",X,"18,617.0000",2.3700,0.7130,0.1570,0.9240,0.8430,0.9110,0.5490,0.0580,0.0580,0.0920,0.6410,0.6450,"747,946.0000","17,016.0000",17.0000,"59,471.0000","38,328.0000","38,328.0000",0.2410,"5,935.0000","2,995.0000","2,093.0000",762.0000,"4,756.0000",471.0000,"4,912.0000","4,246.4000",10.2400,"5,114,968.0000"
"Chesapeake city, Virginia","244,835.0000","222,311.0000",0.1010,0.0630,0.2420,0.1300,0.1300,0.5110,0.6110,0.3000,0.0020,0.0320,0.0400,0.0620,0.5740,"26,832.0000",0.0590,X,0.7140,"273,700.0000","1,867.0000",587.0000,"1,279.0000",X,"84,849.0000",2.7600,0.8550,0.0830,0.9430,0.8990,0.9210,0.3320,0.0790,0.0790,0.0830,0.6190,0.5980,"4,114,946.0000","18,015.0000",26.7000,"78,640.0000","35,536.0000","35,536.0000",0.0860,"16,220.0000","8,748.0000","5,751.0000","5,419.0000","9,981.0000","2,502.0000","12,772.0000",652.0000,340.8000,"5,116,000.0000"
"Colonial Heights city, Virginia","17,370.0000","17,410.0000",-0.0020,0.0610,0.2280,0.2040,0.2040,0.5380,0.7550,0.1530,0.0030,0.0420,0.0310,0.0590,0.7230,"1,681.0000",0.0730,X,0.6290,"171,700.0000","1,308.0000",461.0000,"1,038.0000",X,"7,036.0000",2.4500,0.8250,0.1030,0.8920,0.7810,0.9150,0.2550,0.1040,0.1040,0.0920,0.6110,0.5540,"763,254.0000","43,667.0000",24.3000,"54,550.0000","28,364.0000","28,364.0000",0.1210,"1,600.0000",871.0000,430.0000,236.0000,"1,193.0000",150.0000,"1,269.0000","2,315.3000",7.5200,"5,118,448.0000"
"Covington city, Virginia","5,538.0000","5,951.0000",-0.0690,0.0590,0.2050,0.2020,0.2020,0.5210,0.8210,0.1310,0.0000,0.0120,0.0350,0.0240,0.8100,418.0000,0.0340,X,0.7450,"72,900.0000",820.0000,320.0000,619.0000,X,"2,384.0000",2.3100,0.9090,0.0230,0.8360,0.7720,0.8730,0.1560,0.0940,0.0940,0.1250,0.5790,0.5500,"158,331.0000","27,436.0000",16.5000,"40,655.0000","25,309.0000","25,309.0000",0.1320,430.0000,253.0000,80.0000,55.0000,330.0000,F,364.0000,"1,090.2000",5.4700,"5,119,728.0000"
"Danville city, Virginia","40,044.0000","43,071.0000",-0.0700,0.0590,0.2180,0.2030,0.2030,0.5400,0.4550,0.4940,0.0010,0.0120,0.0320,0.0430,0.4240,"2,915.0000",0.0350,X,0.5150,"90,500.0000","1,037.0000",367.0000,682.0000,X,"18,293.0000",2.1600,0.8630,0.0520,0.8060,0.7190,0.8180,0.1760,0.1470,0.1470,0.1190,0.5440,0.5180,"964,972.0000","22,443.0000",18.1000,"37,203.0000","22,826.0000","22,826.0000",0.2240,"3,073.0000","1,290.0000","1,225.0000","1,118.0000","1,679.0000",266.0000,"2,465.0000","1,002.8000",42.9300,"5,121,344.0000"
"Emporia city, Virginia","5,346.0000","5,925.0000",-0.0980,0.0500,0.2870,0.1680,0.1680,0.5490,0.2800,0.6320,0.0010,0.0030,0.0840,0.0680,0.2450,194.0000,0.0280,X,0.4010,"116,800.0000","1,096.0000",344.0000,694.0000,X,"2,086.0000",2.4900,0.8250,0.0650,0.8140,0.6520,0.7940,0.1380,0.1220,0.1220,0.1620,0.6080,0.6060,"136,519.0000","23,784.0000",18.4000,"27,063.0000","18,494.0000","18,494.0000",0.2700,581.0000,360.0000,148.0000,147.0000,381.0000,140.0000,393.0000,859.7000,6.8900,"5,125,808.0000"
"Fairfax city, Virginia","24,019.0000","22,554.0000",0.0650,0.0720,0.2230,0.1490,0.1490,0.5140,0.6780,0.0490,0.0010,0.1720,0.0510,0.1720,0.5620,"1,423.0000",0.2890,X,0.7000,"560,400.0000","2,750.0000",748.0000,"1,834.0000",X,"8,577.0000",2.6700,0.8380,0.3390,0.9830,0.9540,0.9400,0.6080,0.0410,0.0410,0.0850,0.7020,0.6350,"1,757,516.0000","74,912.0000",31.5000,"116,979.0000","50,029.0000","50,029.0000",0.0930,"4,757.0000","2,506.0000","1,546.0000","1,738.0000","2,669.0000",329.0000,"4,062.0000","3,616.8000",6.2400,"5,126,496.0000"
"Falls Church city, Virginia","14,617.0000","12,244.0000",0.1940,0.0530,0.2490,0.1290,0.1290,0.5140,0.7940,0.0490,0.0020,0.0990,0.0370,0.1070,0.7170,908.0000,0.1920,X,0.5830,"789,300.0000","3,418.0000","1,163.0000","1,867.0000",X,"5,493.0000",2.5600,0.8050,0.1930,0.9820,0.9370,0.9890,0.7760,0.0460,0.0460,0.0300,0.7440,0.6900,"310,182.0000","23,447.0000",29.1000,"127,610.0000","72,325.0000","72,325.0000",0.0320,"2,129.0000","1,090.0000",763.0000,503.0000,"1,520.0000",213.0000,"1,786.0000","6,169.1000",2.0000,"5,127,200.0000"
"Franklin city, Virginia","7,967.0000","8,578.0000",-0.0710,0.0670,0.2520,0.1930,0.1930,0.5530,0.3690,0.5670,0.0000,0.0130,0.0410,0.0110,0.3690,579.0000,0.0140,X,0.5160,"164,100.0000","1,173.0000",462.0000,860.0000,X,"3,522.0000",2.2800,0.9000,0.0270,0.8160,0.7290,0.8630,0.1910,0.0830,0.0830,0.0800,0.6500,0.6510,"228,303.0000","26,771.0000",25.0000,"40,417.0000","24,025.0000","24,025.0000",0.1470,734.0000,296.0000,356.0000,388.0000,280.0000,30.0000,634.0000,"1,045.8000",8.2100,"5,129,600.0000"
"Fredericksburg city, Virginia","29,036.0000","24,178.0000",0.2010,0.0700,0.2100,0.1080,0.1080,0.5460,0.6230,0.2210,0.0020,0.0270,0.0710,0.1070,0.5940,"1,877.0000",0.1020,X,0.3550,"367,200.0000","2,005.0000",561.0000,"1,258.0000",X,"10,762.0000",2.4200,0.7180,0.1240,0.9350,0.8470,0.9020,0.4090,0.0820,0.0820,0.1230,0.7130,0.6710,"1,074,978.0000","39,366.0000",30.0000,"65,641.0000","35,731.0000","35,731.0000",0.1550,"2,635.0000","1,124.0000",952.0000,544.0000,"1,787.0000",247.0000,"2,041.0000","2,326.2000",10.4400,"5,129,744.0000"
"Galax city, Virginia","6,347.0000","6,989.0000",-0.0920,0.0510,0.2170,0.2240,0.2240,0.5260,0.8960,0.0750,0.0000,0.0060,0.0030,0.1450,0.7910,532.0000,0.0650,X,0.6810,"96,600.0000",967.0000,322.0000,574.0000,X,"2,663.0000",2.3100,0.8890,0.1270,0.7990,0.6850,0.7570,0.1480,0.2050,0.2050,0.2030,0.5480,0.5280,"259,619.0000","37,582.0000",19.4000,"33,575.0000","23,025.0000","23,025.0000",0.2380,780.0000,343.0000,298.0000,48.0000,680.0000,124.0000,599.0000,854.6000,8.2400,"5,130,208.0000"
"Hampton city, Virginia","134,510.0000","137,464.0000",-0.0210,0.0610,0.2110,0.1500,0.1500,0.5180,0.4110,0.4990,0.0050,0.0250,0.0420,0.0580,0.3820,"18,797.0000",0.0470,X,0.5570,"186,700.0000","1,511.0000",495.0000,"1,118.0000",X,"54,050.0000",2.4100,0.8120,0.0650,0.9140,0.8200,0.9140,0.2690,0.1160,0.1160,0.0950,0.6020,0.5960,"1,512,476.0000","11,053.0000",22.6000,"56,287.0000","30,135.0000","30,135.0000",0.1520,"8,058.0000","3,626.0000","3,473.0000","3,865.0000","3,694.0000","1,181.0000","6,139.0000","2,673.2000",51.4100,"5,135,000.0000"
"Harrisonburg city, Virginia","53,016.0000","48,900.0000",0.0840,0.0510,0.1630,0.0900,0.0900,0.5200,0.8040,0.0740,0.0010,0.0390,0.0670,0.1970,0.6610,"1,236.0000",0.1710,X,0.3960,"203,600.0000","1,266.0000",425.0000,883.0000,X,"16,723.0000",2.7500,0.6990,0.2550,0.9020,0.7800,0.8390,0.3630,0.0650,0.0650,0.1360,0.5970,0.5540,"1,519,791.0000","29,811.0000",16.6000,"46,679.0000","23,202.0000","23,202.0000",0.2830,"3,745.0000","1,964.0000","1,018.0000",684.0000,"2,771.0000",423.0000,"2,991.0000","2,808.2000",17.4200,"5,135,624.0000"
"Hopewell city, Virginia","22,529.0000","22,591.0000",-0.0030,0.0740,0.2570,0.1550,0.1550,0.5320,0.5090,0.4350,0.0010,0.0140,0.0240,0.0790,0.4650,"2,073.0000",0.0370,X,0.4670,"122,900.0000","1,075.0000",423.0000,886.0000,X,"9,224.0000",2.4100,0.8190,0.0850,0.8400,0.7570,0.8130,0.1480,0.1440,0.1440,0.1090,0.5880,0.5620,"164,780.0000","7,373.0000",24.5000,"39,030.0000","21,927.0000","21,927.0000",0.2360,"1,238.0000",616.0000,511.0000,452.0000,715.0000,141.0000,"1,018.0000","2,198.0000",10.2800,"5,138,424.0000"
"Lexington city, Virginia","7,446.0000","7,037.0000",0.0580,0.0230,0.0900,0.1560,0.1560,0.4320,0.8370,0.0880,0.0000,0.0350,0.0280,0.0610,0.7910,293.0000,0.0470,X,0.5240,"235,700.0000","1,085.0000",492.0000,788.0000,X,"2,158.0000",2.0200,0.7980,0.0620,0.8370,0.7190,0.9140,0.4670,0.0990,0.0990,0.0570,0.3840,0.4800,"92,664.0000","13,241.0000",15.9000,"42,632.0000","19,047.0000","19,047.0000",0.2740,689.0000,337.0000,270.0000,25.0000,598.0000,94.0000,522.0000,"2,820.2000",2.5000,"5,145,512.0000"
"Lynchburg city, Virginia","82,168.0000","75,534.0000",0.0880,0.0610,0.1920,0.1410,0.1410,0.5320,0.6500,0.2860,0.0030,0.0240,0.0250,0.0420,0.6230,"4,755.0000",0.0520,X,0.4870,"160,100.0000","1,167.0000",423.0000,857.0000,X,"28,273.0000",2.4800,0.7880,0.0670,0.8860,0.7960,0.8870,0.3560,0.0940,0.0940,0.1050,0.5830,0.5510,"1,995,200.0000","25,874.0000",17.4000,"46,409.0000","23,863.0000","23,863.0000",0.1950,"5,519.0000","2,735.0000","1,719.0000","1,165.0000","3,973.0000",494.0000,"4,540.0000","1,538.2000",49.1300,"5,147,672.0000"
"Manassas city, Virginia","41,085.0000","37,799.0000",0.0870,0.0840,0.2690,0.0970,0.0970,0.4980,0.6610,0.1360,0.0080,0.0520,0.0520,0.3660,0.4080,"2,316.0000",0.2620,X,0.6610,"324,600.0000","2,061.0000",690.0000,"1,528.0000",X,"12,898.0000",3.1900,0.8550,0.4040,0.9240,0.8900,0.8270,0.2960,0.0450,0.0450,0.1640,0.7320,0.6500,"895,267.0000","22,048.0000",36.5000,"81,493.0000","33,082.0000","33,082.0000",0.0800,"4,123.0000","2,254.0000","1,397.0000","1,605.0000","2,276.0000",450.0000,"3,413.0000","3,827.6000",9.8800,"5,148,952.0000"
"Manassas Park city, Virginia","17,478.0000","14,243.0000",0.2270,0.0650,0.2560,0.0850,0.0850,0.4770,0.6230,0.1530,0.0010,0.1110,0.0390,0.3970,0.3310,916.0000,0.3610,X,0.6590,"308,000.0000","2,075.0000",648.0000,"1,732.0000",X,"4,641.0000",3.6600,0.8310,0.4810,0.9680,0.8960,0.8270,0.2790,0.0590,0.0590,0.1860,0.7480,0.6900,"124,707.0000","7,894.0000",40.5000,"88,046.0000","34,326.0000","34,326.0000",0.0640,"1,572.0000","1,072.0000",407.0000,844.0000,659.0000,163.0000,"1,379.0000","5,632.6000",2.5300,"5,148,968.0000"
"Martinsville city, Virginia","12,554.0000","13,814.0000",-0.0910,0.0810,0.2410,0.1870,0.1870,0.5560,0.4800,0.4540,0.0040,0.0100,0.0400,0.0570,0.4400,734.0000,0.0380,X,0.5590,"87,700.0000",906.0000,354.0000,656.0000,X,"5,532.0000",2.2400,0.8200,0.0700,0.8380,0.7390,0.8280,0.2100,0.1450,0.1450,0.1360,0.5490,0.5460,"317,806.0000","23,142.0000",19.4000,"34,371.0000","22,836.0000","22,836.0000",0.2390,974.0000,526.0000,318.0000,240.0000,625.0000,145.0000,718.0000,"1,261.5000",10.9600,"5,149,784.0000"
"Newport News city, Virginia","179,225.0000","180,955.0000",-0.0100,0.0730,0.2320,0.1270,0.1270,0.5170,0.4790,0.4110,0.0030,0.0320,0.0520,0.0900,0.4290,"19,513.0000",0.0750,X,0.4890,"194,000.0000","1,510.0000",521.0000,"1,057.0000",X,"69,835.0000",2.4400,0.8260,0.1070,0.9120,0.7640,0.9100,0.2630,0.1210,0.1210,0.1270,0.6120,0.6010,"2,480,813.0000","13,727.0000",23.3000,"53,215.0000","28,294.0000","28,294.0000",0.1530,"10,889.0000","5,145.0000","4,521.0000","4,523.0000","5,719.0000","1,513.0000","8,576.0000","2,630.0000",68.7100,"5,156,000.0000"
"Norfolk city, Virginia","242,742.0000","242,827.0000",0.0000,0.0660,0.1970,0.1090,0.1090,0.4780,0.4700,0.4110,0.0040,0.0370,0.0470,0.0800,0.4340,"26,924.0000",0.0720,X,0.4340,"206,700.0000","1,557.0000",562.0000,"1,059.0000",X,"88,353.0000",2.4700,0.7320,0.1040,0.9100,0.8340,0.8800,0.2880,0.1010,0.1010,0.1340,0.5650,0.5850,"2,683,232.0000","10,917.0000",21.3000,"51,590.0000","29,830.0000","29,830.0000",0.1870,"15,322.0000","7,434.0000","6,094.0000","6,119.0000","8,159.0000","1,897.0000","12,189.0000","4,486.4000",54.1200,"5,157,000.0000"
"Norton city, Virginia (County)","3,981.0000","3,993.0000",-0.0030,0.0580,0.2160,0.1870,0.1870,0.5320,0.8970,0.0590,0.0040,0.0180,0.0220,0.0380,0.8600,230.0000,0.0370,"1,954.0000",0.5010,"93,800.0000",958.0000,368.0000,618.0000,0.0000,"1,628.0000",2.4000,0.7430,0.0400,0.8430,0.6800,0.8400,0.2280,0.1730,0.1730,0.0950,0.5840,0.5390,"219,720.0000","54,012.0000",12.5000,"29,000.0000","21,741.0000","21,741.0000",0.1930,325.0000,190.0000,72.0000,F,250.0000,91.0000,180.0000,529.1000,7.4800,"51,720.0000"
"Petersburg city, Virginia","31,346.0000","32,441.0000",-0.0340,0.0730,0.2140,0.1670,0.1670,0.5440,0.1750,0.7670,0.0020,0.0090,0.0230,0.0490,0.1510,"2,491.0000",0.0390,X,0.3880,"108,100.0000","1,175.0000",436.0000,947.0000,X,"13,165.0000",2.3300,0.7670,0.0690,0.8110,0.6900,0.8280,0.1980,0.1720,0.1720,0.1460,0.5870,0.5820,"334,459.0000","10,461.0000",22.7000,"38,679.0000","23,611.0000","23,611.0000",0.2410,"1,480.0000",693.0000,520.0000,831.0000,502.0000,194.0000,"1,119.0000","1,413.7000",22.9300,"5,161,832.0000"
"Poquoson city, Virginia","12,271.0000","12,159.0000",0.0090,0.0460,0.2210,0.1960,0.1960,0.5020,0.9390,0.0110,0.0010,0.0250,0.0210,0.0280,0.9140,"1,428.0000",0.0430,X,0.8140,"323,100.0000","2,164.0000",605.0000,"1,222.0000",X,"4,593.0000",2.6200,0.8750,0.0470,0.9120,0.8680,0.9490,0.4220,0.0760,0.0760,0.0360,0.5960,0.5300,"63,753.0000","5,270.0000",24.7000,"97,118.0000","40,258.0000","40,258.0000",0.0560,703.0000,439.0000,189.0000,F,664.0000,141.0000,493.0000,793.2000,15.3200,"5,163,768.0000"
"Portsmouth city, Virginia","94,398.0000","95,526.0000",-0.0120,0.0750,0.2340,0.1450,0.1450,0.5190,0.3980,0.5290,0.0040,0.0140,0.0360,0.0450,0.3770,"10,238.0000",0.0290,X,0.5500,"170,900.0000","1,438.0000",549.0000,"1,048.0000",X,"36,370.0000",2.5100,0.8340,0.0460,0.8860,0.7960,0.8830,0.2190,0.1020,0.1020,0.1170,0.5990,0.5840,"699,478.0000","7,251.0000",23.1000,"52,175.0000","26,312.0000","26,312.0000",0.1680,"6,112.0000","2,879.0000","2,662.0000","3,053.0000","2,825.0000",744.0000,"5,043.0000","2,838.8000",33.6500,"5,164,000.0000"
"Radford city, Virginia","18,249.0000","16,395.0000",0.1130,0.0310,0.1060,0.0870,0.0870,0.5260,0.8480,0.0990,0.0000,0.0160,0.0320,0.0290,0.8330,830.0000,0.0260,X,0.4660,"170,800.0000","1,320.0000",395.0000,728.0000,X,"5,573.0000",2.6400,0.7390,0.0510,0.8860,0.7980,0.9120,0.3800,0.1000,0.1000,0.0890,0.5420,0.5360,"105,816.0000","6,342.0000",17.5000,"36,297.0000","21,797.0000","21,797.0000",0.3630,705.0000,418.0000,200.0000,35.0000,612.0000,70.0000,565.0000,"1,662.1000",9.8700,"5,165,392.0000"
"Richmond city, Virginia","230,436.0000","204,375.0000",0.1280,0.0590,0.1760,0.1280,0.1280,0.5260,0.4550,0.4690,0.0040,0.0210,0.0340,0.0690,0.4080,"11,806.0000",0.0700,X,0.4260,"230,500.0000","1,555.0000",586.0000,"1,025.0000",X,"90,301.0000",2.3900,0.7620,0.0940,0.8810,0.7540,0.8540,0.3960,0.1190,0.1190,0.1360,0.6560,0.6380,"1,955,177.0000","9,297.0000",21.8000,"47,250.0000","33,549.0000","33,549.0000",0.2320,"18,539.0000","9,180.0000","7,426.0000","6,859.0000","10,698.0000","1,673.0000","15,660.0000","3,414.7000",59.8100,"5,167,000.0000"
"Roanoke city, Virginia","99,143.0000","96,910.0000",0.0230,0.0680,0.2190,0.1610,0.1610,0.5240,0.6240,0.2900,0.0020,0.0300,0.0440,0.0630,0.5850,"6,467.0000",0.0670,X,0.5150,"135,100.0000","1,094.0000",411.0000,814.0000,X,"41,740.0000",2.3300,0.8050,0.0860,0.8580,0.7490,0.8620,0.2340,0.0890,0.0890,0.1280,0.6400,0.6000,"2,461,000.0000","25,249.0000",22.8000,"44,230.0000","27,006.0000","27,006.0000",0.2080,"8,330.0000","4,488.0000","2,806.0000","1,661.0000","6,109.0000",900.0000,"6,737.0000","2,279.8000",42.5600,"5,168,000.0000"
"Salem city, Virginia","25,301.0000","24,836.0000",0.0190,0.0450,0.1910,0.1900,0.1900,0.5350,0.8740,0.0670,0.0010,0.0170,0.0300,0.0330,0.8530,"1,747.0000",0.0340,X,0.6360,"181,900.0000","1,384.0000",476.0000,913.0000,X,"9,912.0000",2.3000,0.8490,0.0490,0.9030,0.7930,0.8920,0.2790,0.0730,0.0730,0.0770,0.6110,0.5740,"507,769.0000","20,335.0000",20.6000,"57,165.0000","31,924.0000","31,924.0000",0.0910,"2,039.0000","1,051.0000",545.0000,209.0000,"1,642.0000",161.0000,"1,600.0000","1,717.9000",14.4400,"5,170,000.0000"
"Staunton city, Virginia","24,932.0000","23,745.0000",0.0500,0.0590,0.1900,0.2100,0.2100,0.5430,0.8340,0.1130,0.0030,0.0140,0.0320,0.0310,0.8110,"1,764.0000",0.0370,X,0.5730,"169,000.0000","1,205.0000",423.0000,861.0000,X,"10,597.0000",2.1800,0.8110,0.0540,0.8660,0.7490,0.8970,0.3340,0.0870,0.0870,0.1220,0.6210,0.5640,"432,665.0000","18,087.0000",21.6000,"52,611.0000","30,166.0000","30,166.0000",0.1110,"2,336.0000","1,336.0000",766.0000,154.0000,"2,025.0000",140.0000,"1,908.0000","1,188.8000",19.9800,"5,175,216.0000"
"Suffolk city, Virginia","92,108.0000","84,565.0000",0.0890,0.0660,0.2430,0.1420,0.1420,0.5150,0.5150,0.4180,0.0020,0.0200,0.0380,0.0440,0.4930,"10,917.0000",0.0350,X,0.6870,"254,400.0000","1,841.0000",579.0000,"1,201.0000",X,"33,774.0000",2.6500,0.8500,0.0510,0.9140,0.8110,0.8990,0.2950,0.0830,0.0830,0.0730,0.6410,0.6060,"958,895.0000","11,257.0000",29.5000,"74,884.0000","34,940.0000","34,940.0000",0.1040,"5,504.0000","2,563.0000","2,402.0000","2,222.0000","3,040.0000",608.0000,"4,598.0000",211.4000,400.1700,"5,176,432.0000"
"Virginia Beach city, Virginia","449,974.0000","437,903.0000",0.0280,0.0630,0.2230,0.1370,0.1370,0.5080,0.6630,0.1900,0.0030,0.0670,0.0560,0.0820,0.6170,"56,598.0000",0.0940,X,0.6370,"280,800.0000","1,826.0000",617.0000,"1,367.0000",X,"170,798.0000",2.5800,0.8230,0.1250,0.9500,0.8990,0.9350,0.3600,0.0780,0.0780,0.0880,0.6440,0.6270,"5,671,477.0000","12,687.0000",23.6000,"76,610.0000","37,776.0000","37,776.0000",0.0730,"35,359.0000","18,195.0000","13,466.0000","8,893.0000","25,052.0000","5,384.0000","27,836.0000","1,758.9000",249.0200,"5,182,000.0000"
"Waynesboro city, Virginia","22,630.0000","20,998.0000",0.0780,0.0640,0.2330,0.1760,0.1760,0.5110,0.8140,0.1420,0.0050,0.0110,0.0210,0.0810,0.7510,"1,587.0000",0.0380,X,0.5770,"174,100.0000","1,281.0000",396.0000,821.0000,X,"9,193.0000",2.3900,0.8320,0.0680,0.8610,0.7260,0.8610,0.2710,0.1050,0.1050,0.1640,0.6250,0.5680,"474,273.0000","22,470.0000",22.4000,"45,011.0000","27,033.0000","27,033.0000",0.1680,"1,693.0000",959.0000,484.0000,272.0000,"1,218.0000",153.0000,"1,331.0000","1,396.8000",15.0400,"5,183,680.0000"
"Williamsburg city, Virginia","14,954.0000","13,700.0000",0.0920,0.0350,0.1040,0.1570,0.1570,0.5360,0.7340,0.1500,0.0040,0.0650,0.0360,0.0710,0.6770,"1,009.0000",0.0690,X,0.4930,"306,000.0000","1,712.0000",491.0000,"1,193.0000",X,"4,706.0000",2.2400,0.6260,0.1390,0.9530,0.8620,0.9470,0.5680,0.0730,0.0730,0.0700,0.4990,0.4790,"348,742.0000","22,993.0000",19.1000,"57,463.0000","29,758.0000","29,758.0000",0.2070,"1,382.0000",709.0000,274.0000,177.0000,"1,081.0000",128.0000,928.0000,"1,559.3000",9.0200,"5,186,160.0000"
"Winchester city, Virginia","28,078.0000","26,223.0000",0.0710,0.0670,0.2290,0.1590,0.1590,0.5090,0.8200,0.1010,0.0020,0.0220,0.0420,0.1780,0.6600,"1,745.0000",0.1320,X,0.4430,"244,900.0000","1,485.0000",504.0000,"1,054.0000",X,"10,490.0000",2.5600,0.8200,0.1990,0.8590,0.7540,0.8410,0.3510,0.1120,0.1120,0.1640,0.6520,0.6090,"888,461.0000","33,052.0000",25.6000,"58,818.0000","30,859.0000","30,859.0000",0.1630,"2,857.0000","1,484.0000",733.0000,379.0000,"2,174.0000",138.0000,"2,313.0000","2,838.0000",9.2300,"5,186,720.0000"
